Catalog#,Artist,Title,Label,Format,Genre,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
LORD115,Trap Them,Filth Rations,Southern Lord,"12"", S/Sided, EP, Etch, Ltd","['Hardcore', 'Death Metal', 'Grindcore']",,2010,2258571,Uncategorized,3/23/2021,,,
Canto XVII,Trhä,Endlh​​​ë​​​d​​​ë​​​haj Q​​​á​​​shm​​​ë​​​na ëlh Vim Innivte,Canti Eretici Productions,"Cass, Album, Ltd",,,2023,26391680,Uncategorized,10/11/2023,,,
IXP-082,Trhä,Mã Héshiva Õn Dahh Khata Trhândlha Vand Ëfd Datnen Aghen Ecíës Drhãtdlhan Savd,Ixiol Productions,"LP, Album, Ltd, Dar",,,2023,28312009,Uncategorized,10/11/2023,,,
IXP-090,Trhä,Endlhëdëhaj Qáshmëna Ëlh Vim Innivte,Ixiol Productions,"LP, Ltd, Ora",,,2023,28311985,Uncategorized,10/11/2023,,,
TOWER0005,Trhä,Endlhëtonëg,Labyrinth Tower,"Cass, Album",,,2021,21633829,Uncategorized,10/11/2023,,,
Canto XIX,Trhä / Sëht,Dlahdlhë,Canti Eretici Productions,"Cass, Album, Ltd",,,2023,26392016,Uncategorized,10/11/2023,,,
A&C068,Trust (15),TRST,Arts & Crafts,"2xLP, Album","['Darkwave', 'Synth-pop', 'Electro']",,2012,3430674,Uncategorized,6/22/2020,,,
"FP61, STARLESS 001",Twilight Stronghold / Vöghräth,Promo Nov. '21 / S/T (Demo '21),"Fiadh Productions, Starless Music","Cass, Comp, Ltd",,,2022,25556893,Uncategorized,8/19/2023,,,
NR056,U.S. Christmas,USCHRISTMAS,Neurot Recordings,"12"", EP","['Space Rock', 'Psychedelic Rock']",,2007,1492364,Uncategorized,7/27/2020,,,
FP10,Uamh,"A Windswept River's Edge, Carved Through Ancient Stone",Fiadh Productions,"Cass, EP, Ltd","['Atmospheric Black Metal', 'Dark Ambient', 'Dungeon Synth']",,2022,24544043,Uncategorized,8/19/2023,,,
#237,Ultha,All That Has Never Been True,Vendetta Records (3),"Cass, Album, Ltd",,,2022,22754024,Uncategorized,10/11/2023,,,
SBR-258,Uniform (5),Shame,Sacred Bones Records,"LP, Album, Bla","['Noise', 'Industrial Metal']",,2020,15953460,Uncategorized,11/26/2020,,,
SBR-170,Uniform (5),Wake In Fright,Sacred Bones Records,"LP, Album","['Noise', 'Industrial']",,2017,9680883,Uncategorized,7/5/2020,,,
SBA-003,Uniform (5) & The Body (3),Everything That Dies Someday Comes Back,"Sacred Bones Records, Sacred Bones Alliance Series","LP, Album",,,2019,14006026,Uncategorized,7/5/2020,,,
NNF360,UNKNOWN ME,美心体 = Bishintai ,Not Not Fun Records,LP,,,2021,18523288,Uncategorized,10/11/2023,,,
DDR103,Urdôl Ur,Seven Portals To The Arcane Realms,Dungeons Deep Records,"Cass, Ltd",,,2022,21975916,Uncategorized,10/11/2023,,,
"IXP-050, COVEN028",Urdôl Ur,Seven Portals To The Arcane Realms,"Ixiol Productions, Unborn Productions","LP, Album",,,2022,23544677,Uncategorized,10/11/2023,,,
UKEM-LP-002,Vegard,Call From The Forest,UKEM Records,"LP, Ltd, Num, RM, Blu",['Black Metal'],,0,18770971,Uncategorized,11/29/2021,,,
ARLP129,VI (5),De Praestigiis Angelorum,Agonia Records,"LP, Album, Ltd, Num",['Black Metal'],,2015,7888580,Uncategorized,6/22/2020,,,
YR0098,Viagra Boys,Common Sense,Year0001,"12"", EP, Ltd, Blu","['Indie Rock', 'Post-Punk', 'New Wave']",,2020,15029200,Uncategorized,8/8/2020,,,
none,vide (2),Collection,JEMS,"Cass, Comp, Ltd, RE","['Black Metal', 'Atmospheric Black Metal']",,2021,20894578,Uncategorized,4/19/2022,,,
none,vide (2),Hanging By The Bayou Light,JEMS,"Cass, Album, Ltd, RE","['Black Metal', 'Atmospheric Black Metal']",,2021,20894509,Uncategorized,4/19/2022,,,
"HALO107, DC34",Vile Creature,Cast Of Static And Smoke,"Halo Of Flies, Dry Cough Records","LP, Album, Ltd, Bla","['Doom Metal', 'Black Metal', 'Sludge Metal']",,2018,11741812,Uncategorized,6/24/2020,,,
none,Vital Spirit,"Still As The Night, Cold As The Wind",Vendetta Records (3),"CD, Album",,,2022,23407892,Uncategorized,10/11/2023,,,
NNF398,Voyage Futur,In Constant Change,Not Not Fun Records,"Cass, Album",,,2023,27497889,Uncategorized,10/11/2023,,,
Vendetta #113,Wandar,Landlose Ufer,Vendetta Records (3),"LP, Ltd, Num, RE, RM, Whi",['Black Metal'],,2021,18207301,Uncategorized,5/11/2021,,,
none,Weeping Coffin,F.B.I. ,Grime Stone Records,CDr,,,2022,22728986,Uncategorized,10/11/2023,,,
FR-101,Winterburial,White Tomb Pilgrimage,Fólkvangr Records,"Cass, Album, Ltd, Num",['Black Metal'],,2022,24586712,Uncategorized,8/19/2023,,,
LORD103,Wolves In The Throne Room,Black Cascade,Southern Lord,"2xLP, Album, RP",['Atmospheric Black Metal'],,2018,12678132,Uncategorized,7/11/2020,,,
"RR4601, RR46141",Wolves In The Throne Room,Primordial Arcana,"Relapse Records, Relapse Records, Artemisia Records","2xLP, Album, Dlx, Ltd, Bla","['Atmospheric Black Metal', 'Black Metal']",,2021,20153167,Uncategorized,9/13/2021,,,
DIA014,Wolves In The Throne Room,Diadem Of 12 Stars,Artemisia Records,"2xLP, Album, RE",['Atmospheric Black Metal'],,2016,8658419,Uncategorized,7/11/2020,,,
NNF411,X.Y.R.,Memory Tapes,Not Not Fun Records,"Cass, Album, Bla",,,2023,28105918,Uncategorized,10/11/2023,,,
BMR-029,"Xirgan, Till (27)",A Clash of Darkened Sorcery,Bitter Misery Records,Cass,,,2023,26068357,Uncategorized,10/11/2023,,,
PRC-312,Xiu Xiu,Plays The Music Of Twin Peaks,Polyvinyl Record Company,"LP, Red + LP, Blu + Album, RSD, Ltd","['Experimental', 'Ambient', 'Soundtrack']",,2016,8398440,Uncategorized,7/5/2020,,,
none,Zhmach,Euphoria Never Leaves ,Grime Stone Records,Cass,,,2021,20429014,Uncategorized,10/11/2023,,,
none,Zhmach,Karyta Dzieda Platona,Grime Stone Records,Cass,,,2023,27415026,Uncategorized,10/11/2023,,,
SBR 297,Zola Jesus,Arkhon,Sacred Bones Records,"Cass, Album",,,2022,23682629,Uncategorized,10/11/2023,,,
RR7476,Zombi (2),Liquid Crystal,Relapse Records,"12"", EP, Ltd, Roy","['Prog Rock', 'Synthwave']",,2021,18671773,Uncategorized,5/11/2021,,,
