,release_id,img_url,paid
60,26579276,https://i.discogs.com/z_hTZpVpUfdyrc2mi2Avu_s2oX-L8FBWoPvY4t0_XtE/rs:fit/g:sm/q:90/h:561/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2NTc5/Mjc2LTE2ODAwNTY2/NDQtMzQyMy5qcGVn.jpeg,
61,23871236,https://i.discogs.com/rpeC7arihtOA5KRTDjfLIiKQyNf_PoKQjFqW7f3CgiI/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzODcx/MjM2LTE2NTgwNzA3/MzctODk4Ni5qcGVn.jpeg,
62,21397783,https://i.discogs.com/u8H1TPQdDsrr389iyoGLPjeyNQYqTzq6InXu4Wo2rxk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMzk3/NzgzLTE2Mzk4NDQ5/NzctMTEzMi5qcGVn.jpeg,
63,19518175,,
64,19484788,https://i.discogs.com/b1Kq1bSb3nDmjO11wyNuviVPBfTczY97XVkcdhNvNDo/rs:fit/g:sm/q:90/h:404/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NDg0/Nzg4LTE2MjczMjM3/MzgtNjE0NC5qcGVn.jpeg,
65,19484788,https://i.discogs.com/b1Kq1bSb3nDmjO11wyNuviVPBfTczY97XVkcdhNvNDo/rs:fit/g:sm/q:90/h:404/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NDg0/Nzg4LTE2MjczMjM3/MzgtNjE0NC5qcGVn.jpeg,
66,7299969,https://i.discogs.com/EeJxaf7SxXolBasfsXAUX0HHqSd13m8ZkV5foBKjavo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcyOTk5/NjktMTQzODM0Mjc3/Ny0xMzYyLmpwZWc.jpeg,12.0
67,20147620,https://i.discogs.com/y4Lf4gclL1Pus6k31OuK6xPWIXqMMyh8HPv-4Cy_dNQ/rs:fit/g:sm/q:90/h:574/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwMTQ3/NjIwLTE2MzEwMjM4/MTUtNDM1MS5qcGVn.jpeg,
68,24556265,,
69,20394643,https://i.discogs.com/plu_pzsYAyfjAYzc2Xz6MqrTUQjZgpQtjORlSsuLZr8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwMzk0/NjQzLTE2MzI4MDE2/NjAtMzU5NS5qcGVn.jpeg,
70,16431690,https://i.discogs.com/DBMucfxGyycCaWdLzEIXmvtrW2sdluXt5e1lSqkj6DA/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2NDMx/NjkwLTE2MDg5Mjc0/MjItMTUyMS5qcGVn.jpeg,26.95
71,23339513,https://i.discogs.com/J5dgwlabK7RwocDHQaIylNeP_q_Wy4qBEsxk6_JeBNE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMzM5/NTEzLTE2NTM0MDM5/NTQtNjY2Ny5qcGVn.jpeg,
72,26599118,https://i.discogs.com/N9r0-CUdsaAz5dbVZ6Hjfz7DMzg7lRB5erfFSEMZ11Q/rs:fit/g:sm/q:90/h:392/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2NTk5/MTE4LTE2ODA1NDUy/MzUtODIwMC5qcGVn.jpeg,
73,24020723,https://i.discogs.com/x3AYg3DHUTR1obOlrKMIeLrjGq6ECn3dF1onuXHOS5c/rs:fit/g:sm/q:90/h:828/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MDIw/NzIzLTE2NjQyOTM4/MzctMzUzMS5qcGVn.jpeg,10.0
74,26039194,https://i.discogs.com/DAzV3VrgMB7a_ycwRIPKwnREjapjv6yQB20t7UTifC4/rs:fit/g:sm/q:90/h:886/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MDM5/MTk0LTE2NzU5MDI1/ODktNDA4Ny5qcGVn.jpeg,
75,19320934,https://i.discogs.com/kfBRZmVlff2GtO3q-slDw9dkt_3qMkSnSJvlqpEXKXc/rs:fit/g:sm/q:90/h:695/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5MzIw/OTM0LTE2MjQ5OTIy/MDUtODI4MC5qcGVn.jpeg,
76,27041202,https://i.discogs.com/5kztTwrSqiVjicCBlGuXz1TcsOjNWGcFEoXE9xOHU1M/rs:fit/g:sm/q:90/h:450/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MDQx/MjAyLTE2ODM3ODIz/NzktMjM5MS5qcGVn.jpeg,
